duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 8m 10sec.,490.0,2012-01-04 18:33:00,Thomas Circle,31241.0,2012-01-04 18:41:00,7th & T St NW,31109.0,W00904,Registered,8232
0h 5m 58sec.,358.0,2012-01-04 18:33:00,17th & K St NW [formerly 17th & L St NW],31213.0,2012-01-04 18:39:00,17th & Corcoran St NW,31214.0,W00397,Registered,8233
0h 12m 27sec.,747.0,2012-01-04 18:33:00,13th St & New York Ave NW,31227.0,2012-01-04 18:45:00,1st & Rhode Island Ave NW,31506.0,W00900,Registered,8234
0h 7m 18sec.,438.0,2012-01-04 18:33:00,19th & East Capitol St SE,31601.0,2012-01-04 18:40:00,13th & H St NE,31611.0,W00596,Registered,8235
0h 12m 42sec.,762.0,2012-01-04 18:33:00,17th & K St NW [formerly 17th & L St NW],31213.0,2012-01-04 18:46:00,3rd & H St NE,31616.0,W00398,Registered,8236
0h 3m 30sec.,210.0,2012-01-04 18:33:00,14th & D St SE,31607.0,2012-01-04 18:37:00,"Lincoln Park / 13th & East Capitol St NE ",31619.0,W00861,Registered,8237
0h 14m 44sec.,884.0,2012-01-04 18:33:00,Adams Mill & Columbia Rd NW,31104.0,2012-01-04 18:48:00,7th & F St NW / National Portrait Gallery,31232.0,W01266,Registered,8238
0h 6m 25sec.,385.0,2012-01-04 18:33:00,Adams Mill & Columbia Rd NW,31104.0,2012-01-04 18:40:00,14th & Harvard St NW,31105.0,W00711,Registered,8239
0h 19m 35sec.,1175.0,2012-01-04 18:33:00,Kennedy Center,31211.0,2012-01-04 18:53:00,14th & Harvard St NW,31105.0,W00612,Registered,8240
0h 9m 14sec.,554.0,2012-01-04 18:34:00,17th & Rhode Island Ave NW,31239.0,2012-01-04 18:43:00,1st & Rhode Island Ave NW,31506.0,W01484,Registered,8241
0h 4m 58sec.,298.0,2012-01-04 18:34:00,Park Rd & Holmead Pl NW,31602.0,2012-01-04 18:39:00,Georgia & New Hampshire Ave NW,31400.0,W01197,Registered,8242
